Well,Sample
A01,QC
A02,S02
A03,S03
A04,SC
A05,S05
A06,S06
A07,S07
A08,S08
A09,S09
A10,S10
A11,S11
A12,S12
B01,blank
B02,S14
B03,S15
B04,S16
B05,S17
B06,S18
B07,S19
B08,S20
B09,S21
B10,S22
B11,S23
B12,S25
C01,S01
C02,S02
C03,S03
C04,SC
C05,S05
C06,S06
C07,S07
C08,S08
C09,S09
C10,S10
C11,S11
C12,S12
D01,blank
D02,S14
D03,S15
D04,S16
D05,S17
D06,S18
D07,S19
D08,S20
D09,S21
D10,S22
D11,S23
D12,S25
E01,S01
E02,S02
E03,S03
E04,SC
E05,S05
E06,S06
E07,S07
E08,S08
E09,S09
E10,S10
E11,S11
E12,S12
F01,blank
F02,S14
F03,S15
F04,S16
F05,S17
F06,S18
F07,S19
F08,S20
F09,S21
F10,S22
F11,S23
F12,S25
G01,S01
G02,S02
G03,S03
G04,SC
G05,S05
G06,S06
G07,S07
G08,S08
G09,S09
G10,S10
G11,S11
G12,S12
H01,blank
H02,S14
H03,S15
H04,S16
H05,S17
H06,S18
H07,S19
H08,S20
H09,S21
H10,S22
H11,S23
H12,S25
